date,username,tweet
2022-02-13 00:38:03,mazzya6,  i think it s two fold  although i m sure there are far righters in the mix       contrast two similar countries  five minutes apart  with completely different covid mandates  and     others are protesting against federal mandates  and want mandates governing travel to be dropped 
2022-02-13 00:38:02,Leanne00888573,  i m sick of hearing this  a family member of mine suffered heart failure   days after their booster but apparently it s just one of those things because people suffer from heart failure daily  yet these same people don t apply that logic to covid  face with rolling eyes  is covid now the only death 
2022-02-13 00:38:02,Georgie_D_101,  also you can t determine unless you looked at each case whether yes in fact covid was the factor that meant they couldn t recover from the crash also the variations in car accidents too the level of seriousness of injury would be different in each car accident case   
2022-02-13 00:38:02,originalscout11, denmark s doing it all wrong  they re counting cases and deaths correctly   denmark     mm people  on    mm   virus is almost gone in on   learn to lie and covid disappears in no time 
2022-02-13 00:38:02,leadershipindex,how covid    has changed the way we work  via 
2022-02-13 00:38:01,UKLabour_Innit,uk covid deaths fall     in one week yet uk labour party mps still demand more lockdowns  wilted flower  high heeled shoe  palestinian territories  china 
2022-02-13 00:38:01,zabrilgom,anoche me empujaron algo de     personas  covid ya te siento
2022-02-13 00:38:01,ActivistHat_, in the case of taking precautions to prevent covid infection it is of personal benefit   the problem is that taking precautions requires taking into account that other people exist and matter  and they would rather die 
2022-02-13 00:38:01,TtnKolonyas3,am nakodumun covid testi negative se benim niye her taraf m a r yo  bo az m ac yo ve alev alev yan om amk
2022-02-13 00:38:00,ENGINEER__28,liberum anuncia que el pass covid cae en andaluc a a partir del martes  ale  covidianos  a seguir pinch ndose para renovar nada 
2022-02-13 00:38:00,usapatrioteast2,broad spectrum coronavirus fusion inhibitors to combat covid    and other emerging coronavirus diseases  
2022-02-13 00:38:00,Kathy85829752, just another planned effort to make president biden fail  again  if they had put     th the effort in fighting covid we d have so few death  etc 
2022-02-13 00:38:00,ATL_Test_Watch,covid test available today at cvs       moreland avenue  atlanta  ga        at      am      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm    
2022-02-13 00:38:00,ians_india,delhi on saturday reported     fresh covid   infections in the last    hours  taking the overall caseload to            officials said   besides     covid deaths have also been reported  taking the toll to          
2022-02-13 00:38:00,Meemou4you,      reduction in transmission for how long   maybe     months   also  did you read the part where the vaccinated are dying in greater numbers than unvaxxed but just not from covid   so deaths are ok as long as they aren t from coivd   
2022-02-13 00:37:59,EosNoticiasSLP,casi mil nuevos contagios de covid    en slp  
2022-02-13 00:37:59,PhiCap3,  covid    sra c dr sabatier  dir  cnrs  france  this is why so many old treatments wok as prophylactic   cure   vit d  artemisia annua  nigella  i v e r m e c t i n  
2022-02-13 00:37:59,maik_weed_ing,la gente alega que el gobierno no hace nada con el covid otros alegan contra las restricciones otros contra la vacuna otros contra los antivacunas  otros por el cierre de comercio imposible darles en gusto q todos 
2022-02-13 00:37:59,andina_gama,  i ll tel you   things     i have no respect for covid  i believe it s not much different to flu and pfizer is making billions from fear and vaccine mandates  covid is a scam      the earth is not flat  man  there s too much evidence and proof from all over  not just  nasa  
2022-02-13 00:37:59,CryptoKing69420, they will explain everything away with covid  the rich people that matter and know will be paid off or silenced  inflation will be the fault of the truckers   and the beat goes on 
2022-02-13 00:37:58,MDemenchuk,  has it been made at least somewhat evident that your chances of developing long  covid are greatly diminished by vaccination  hard to tell based on what you read 
2022-02-13 00:37:58,Carolinansousaa, isso deve ser efeitos do covid
2022-02-13 00:37:57,morgabaldissera,eu fui convidada pra uma formatura agora them fevereiro  tava analisando a possibilidade de ir  me dei conta que preciso reaver o tempo perdido de conv vio social dos anos de isolamento  os sinais que eu recebo  meu pai pega covid e eu trabalho de ter a   s bado agora  clown face 
2022-02-13 00:37:57,CarlosE36439965, ele quase nem apareceu no circo da cpi da covid e voc  acha mesmo que ele vai colocar a cara assim para indicar algu m  o fl vio bolsonaro   o homem mais frouxo que j  vi  brabos mesmo s o o eduardo e o carlos bolsonaro  o fl vio   uma vergonha como senador  pronto  falei
2022-02-13 00:37:57,ross81012257, pointless tweet  the tory s keep inferring covid is over  which is it   god forbid you flip flop to score political points  oops that s exactly what you do
2022-02-13 00:37:57,MexTwitt,  el que no quiere  sabe o puede entender la realidad de la masacre que represent  para m xico el pesimo manejo de la pandemia  pues no va a entender  ni aunque se le muera su madre de covid
2022-02-13 00:37:57,Showboat7, i gave up on him  he s an old acquaintance from nyc days but i think covid messed with his thinking 
2022-02-13 00:37:57,DANNYCARLINO,hey    don t be anti science stupid by requiring minor leaguers to be  up to date  on their covid vaccination  they are the least likely to be affected  you haven t seen the young soccer players developing heart problems in europe  it s over  give it up  endthemandates
2022-02-13 00:37:56,Lalo96714716,  si se masifico porque est  lleno de gente en ruina por la crisis del covid que cree que se har  millonaria con las criptomonedas por eso las hacen subir y parece qu  hay una re adopci n pero la realidad es que cuando aparezca la primera sacudida salen todos corriendo en estampida
2022-02-13 00:37:56,nabiilashn,pengen main tp org  pd covid  
2022-02-13 00:37:56,holeofholland,what s funny is this was me towards covid when i first got it in the fall with no symptoms  and now look at me   
2022-02-13 00:37:56,paulthacker11,pfizer pulls its covid vaccine eau from india why  because those pesky folks wanted an independent study  but yes by all means keep lining up and putting this stuff in your body  i am sure its good   
2022-02-13 00:37:55,LafcSelma,  covid testi
2022-02-13 00:37:54,melasu_da,gente  m tanse  sto en lo m s profundo de ustedes   sin covid no existe la econom a  porque la econom a subsist a gracias al covid  viene una hostia financiera que no soy capaz de imaginarme   hagan acopio por amor de dios  aunque no pase nada  act en ya  porque esta todo  bomb 
2022-02-13 00:37:54,ItsColour,  if vaccines were the solution  with a     vax rate  covid would already be over  besides that  covid is not the only thing to consider  this is an ethical or moral question not a scientific one  if you actually care about other people  respect their perspective and choices
2022-02-13 00:37:54,cansfield96, passport has worked fine for me  and it did not cost    billion either  but you representatives of westminster has condoned everything our government has done during this pandemic  you should either just shut up or hold your heads in shame the way your party has handled covid pan
2022-02-13 00:37:53,JujuyPua,hay m s de     mil vacunas contra el covid    disponibles en jujuy  
2022-02-13 00:37:53,OfthunderSon,  oil and gas pay the bills  you ll all find out the hard way when all this  covid money  is gone  nm is fast tracking to be a  rd world state  thetruth
2022-02-13 00:37:53,juliandipede,positivo en covid negativo en cockbig
2022-02-13 00:37:53,GabyTijman,hay m s de     mil vacunas contra el covid    disponibles en jujuy  
2022-02-13 00:37:53,northofeden_,after days and days of negative tests  my lft today showed the faintest line i ve ever seen  so i guess now it s official i have covid  man dancing medium light skin tone 
2022-02-13 00:37:52,SoberOptimist, trudeau has a choice as a free willed man to set a tone commensurate with proportional representation  the appointers of his minority govt were polled by ipsos   only     say mandates are most effective to  hammer  covid  he willfully  amp  defiantly won t even moderate knowing this 
2022-02-13 00:37:52,ksteven18644240,  i hear you  i got   covid    shots    shingles and   flu shot as well 
2022-02-13 00:37:52,happycanuck1974,don t discuss the vax side affects diminish facts from vaers website give hospitals more money for covid patients count flu cold cases as covid push pcr tests with a     false positives attack florida for bucking system fund provs states for vax pass system do the right thing
