date,username,tweet
2022-02-13 00:38:03,mazzya6,"@Heathdangercat @ConsumerSOS I think it's two-fold (although I'm sure there are far-righters in the mix):  1) Contrast two similar countries, five minutes apart, with completely different COVID mandates; and  2) Others are protesting against federal mandates, and want mandates governing travel to be dropped."
2022-02-13 00:38:02,Leanne00888573,@NickSchiavone @MiskiewiczWill I’m sick of hearing this. A family member of mine suffered heart failure 5 days after their booster but apparently it’s just one of those things because people suffer from heart failure daily. Yet these same people don’t apply that logic to covid 🙄 is covid now the only death?
2022-02-13 00:38:02,Georgie_D_101,@Uglyduckping @andymeiklejohn @FordDawe @axel1974 @JennyJenocon Also you can’t determine unless you looked at each case whether yes in fact covid was the factor that meant they couldn’t recover from the crash also the variations in car accidents too the level of seriousness of injury would be different in each car accident case2/2
2022-02-13 00:38:02,originalscout11,"@RodKahx Denmark's doing it all wrong, they're counting cases and deaths correctly.  Denmark: 5.8MM people, ON: 15MM.  Virus is almost gone in ON.  Learn to lie and covid disappears in no time."
2022-02-13 00:38:02,leadershipindex,How COVID-19 Has Changed The Way We Work  https://t.co/2tDtkWvcDD via @CBechervaise
2022-02-13 00:38:01,UKLabour_Innit,UK Covid deaths fall 25% in one week yet UK Labour Party MPs still demand more lockdowns 🥀👠🇵🇸🇨🇳
2022-02-13 00:38:01,zabrilgom,"Anoche me empujaron algo de 550 personas, COVID ya te siento"
2022-02-13 00:38:01,ActivistHat_,@urbanelevations In the case of taking precautions to prevent covid infection it IS of personal benefit.  The problem is that taking precautions requires taking into account that other people exist and matter. And they would rather die.
2022-02-13 00:38:01,TtnKolonyas3,"Amınakodumun covid testi negative se benim niye her tarafım ağrıyo, boğazım acıyo ve alev alev yanıom amk"
2022-02-13 00:38:00,ENGINEER__28,"Liberum anuncia que el pass COVID cae en Andalucía a partir del martes. Ale, covidianos, a seguir pinchándose para renovar nada."
2022-02-13 00:38:00,usapatrioteast2,Broad-Spectrum Coronavirus Fusion Inhibitors to Combat COVID-19 and Other Emerging Coronavirus Diseases  https://t.co/hHskjXDAG6
2022-02-13 00:38:00,Kathy85829752,"@williamlegate Just another planned effort to make President Biden fail! Again, if they had put 1/16th the effort in fighting covid we'd have so few death, etc!!!"
2022-02-13 00:38:00,ATL_Test_Watch,"COVID test available today at CVS (1455 Moreland Avenue, Atlanta, GA 30316) at 11:40AM 12:00PM 12:10PM 12:20PM 12:30PM 12:40PM 01:00PM 01:10PM 01:20PM 02:00PM 02:10PM 02:20PM 02:30PM 02:40PM 02:50PM 03:10PM 03:20PM 03:30PM 03:40PM 03:50PM :  https://t.co/i8jdoR3EYU"
2022-02-13 00:38:00,ians_india,"#Delhi on Saturday reported 920 fresh #COVID19 infections in the last 24 hours, taking the overall caseload to 18,50,516, officials said.  Besides, 13 #Covid deaths have also been reported, taking the toll to 26,060.  https://t.co/BtxaOoOTuX"
2022-02-13 00:38:00,Meemou4you,"@cassandraonline @TinaComer9 @fordnation 60% reduction in transmission for how long - maybe 4-6 months?  Also, did you read the part where the vaccinated are dying in greater numbers than unvaxxed..but just not from covid?  So deaths are OK as long as they aren't from coivd?  https://t.co/gxA551aJvq"
2022-02-13 00:37:59,EosNoticiasSLP,Casi mil nuevos contagios de Covid-19 en SLP @EosNoticiasSLP  https://t.co/OLjg6nECuZ  https://t.co/VAiHcQqVOW
2022-02-13 00:37:59,PhiCap3,"@jljcolorado @CDCgov covid // sra c Dr Sabatier (dir. CNRS, France) this is why so many old treatments wok as prophylactic / cure. (vit D, artemisia annua, nigella, i v e r m e c t i n...)"
2022-02-13 00:37:59,maik_weed_ing,La gente alega que el gobierno no hace nada con el covid Otros alegan contra las restricciones Otros contra la vacuna Otros contra los antivacunas  Otros por el cierre de comercio Imposible darles en gusto q todos.
2022-02-13 00:37:59,andina_gama,"@StevenW44946909 @ORANGEMAN_1690 @footballgenioso @TheFlatEartherr I’ll tel you 2 things. 1) I have no respect for covid. I believe it’s not much different to flu and Pfizer is making billions from fear and vaccine mandates. Covid is a SCAM!  2) The earth is not flat, man. There’s too much evidence and proof from all over, not just “nasa”."
2022-02-13 00:37:59,CryptoKing69420,@DowdEdward They will explain everything away with covid. The rich people that matter and know will be paid off or silenced. Inflation will be the fault of the truckers.   And the beat goes on.
2022-02-13 00:37:58,MDemenchuk,@V_G_Plus @RadioFreeTom Has it been made at least somewhat evident that your chances of developing long  COVID are greatly diminished by vaccination? Hard to tell based on what you read.
2022-02-13 00:37:58,Carolinansousaa,@mara_c0 Isso deve ser efeitos do covid
2022-02-13 00:37:57,morgabaldissera,Eu fui convidada pra uma formatura agora em fevereiro. Tava analisando a possibilidade de ir. Me dei conta que preciso reaver o tempo perdido de convívio social dos anos de isolamento. Os sinais que eu recebo? Meu pai pega covid e eu trabalho de terça à sábado agora 🤡
2022-02-13 00:37:57,CarlosE36439965,"@AlanaPassosRJ Ele quase nem apareceu no circo da CPI da COVID e você acha mesmo que ele vai colocar a cara assim para indicar alguém, o Flávio Bolsonaro é o homem mais frouxo que já vi, brabos mesmo são o Eduardo e o Carlos Bolsonaro, o Flávio é uma vergonha como senador, pronto, falei"
2022-02-13 00:37:57,ross81012257,"@ScotTories Pointless tweet, the Tory’s keep inferring Covid is over, which is it?  God forbid you flip flop to score political points. Oops that’s exactly what you do"
2022-02-13 00:37:57,MexTwitt,"@radiomoy47 @OsvaldoUrielGa3 @elmuybastardo @monerohernandez El que no quiere, sabe o puede entender la realidad de la MASACRE que representó para México el PESIMO manejo de la pandemia, pues no va a entender. Ni aunque se le muera su madre de covid"
2022-02-13 00:37:57,Showboat7,@BuddyWinston I gave up on him. He's an old acquaintance from NYC days but I think Covid messed with his thinking.
2022-02-13 00:37:57,DANNYCARLINO,"Hey, @whitesox, don’t be anti-science stupid by requiring minor leaguers to be “up-to-date” on their Covid vaccination. They are the least likely to be affected. You haven’t seen the young soccer players developing heart problems in Europe? IT’S OVER! GIVE IT UP! #EndTheMandates"
2022-02-13 00:37:56,Lalo96714716,@Braian40927400 @FinanzasArgy Si se masifico porque está lleno de gente en ruina por la crisis del covid que cree que se hará millonaria con las criptomonedas por eso las hacen subir y parece qué hay una re adopción pero la realidad es que cuando aparezca la primera sacudida salen todos corriendo en estampida
2022-02-13 00:37:56,nabiilashn,pengen main tp org” pd covid:(
2022-02-13 00:37:56,holeofholland,What’s funny is this was me towards Covid when I first got it in the fall with no symptoms. And now look at me.  https://t.co/3cRSiIxab1
2022-02-13 00:37:56,paulthacker11,Pfizer pulls its covid vaccine EAU from India why? Because those pesky folks wanted an independent study. But yes by all means keep lining up and putting this stuff in your body. Im sure its good.  https://t.co/MPDmogSiFJ
2022-02-13 00:37:55,LafcSelma,@tuteenu +covid testi
2022-02-13 00:37:54,melasu_da,"Gente, métanse ésto en lo más profundo de ustedes.  Sin Covid no existe la economía, porque la economía subsistía gracias al Covid  Viene una Hostia financiera que no soy capaz de imaginarme...  Hagan acopio por amor de dios, aunque no pase nada, actúen ya, porque esta todo 💣"
2022-02-13 00:37:54,ItsColour,"@cassandraonline @TinaComer9 @fordnation if vaccines were the solution, with a 90% vax rate, covid would already be over. besides that, covid is not the only thing to consider. this is an ethical or moral question not a scientific one. if you actually care about other people, respect their perspective and choices"
2022-02-13 00:37:54,cansfield96,"@ScotTories passport has worked fine for me, and it did not cost 37 billion either, but you representatives of Westminster has condoned everything OUR government has done during this pandemic, you should either just shut up or hold your heads in shame the way your party has handled covid pan"
2022-02-13 00:37:53,JujuyPua,Hay más de 105 mil vacunas contra el Covid-19 disponibles en Jujuy  https://t.co/cuI4HqTAJQ
2022-02-13 00:37:53,OfthunderSon,"@NewMexiSlosh @vivarioarriba @NMHouseDems @NMHouseGOP @georgenelouis @NathanLCNM Oil and gas pay the bills, you’ll all find out the hard way when all this “covid money” is gone. NM is fast tracking to be a 3rd world state. #TheTruth"
2022-02-13 00:37:53,juliandipede,positivo en covid negativo en cockbig
2022-02-13 00:37:53,GabyTijman,Hay más de 105 mil vacunas contra el Covid-19 disponibles en Jujuy  https://t.co/nXed0P1alE
2022-02-13 00:37:53,northofeden_,"after days and days of negative tests, my lft today showed the faintest line i’ve ever seen, so i guess now it’s official i have covid 🕺🏼"
2022-02-13 00:37:52,SoberOptimist,@PeterZeihan Trudeau has a choice as a free willed man to set a tone commensurate with proportional representation. The appointers of his minority govt were polled by IPSOS - only 38% say mandates are most effective to 🔨 covid. HE willfully &amp; defiantly won’t even moderate knowing this.
2022-02-13 00:37:52,ksteven18644240,"@dawnk777 @AmericanGirl252 I hear you! I got 3 Covid-19 shots, 2 Shingles and 1 flu shot as well!"
2022-02-13 00:37:52,happycanuck1974,Don't discuss the Vax side affects Diminish facts from VAERS website Give hospitals more money for covid patients Count flu/cold cases as covid Push PCR tests with a 50% false positives Attack #Florida for bucking system Fund provs/states for vax pass system Do the right thing
2022-02-13 00:37:52,HeartsofOakUK,On Hearts of Oak Podcast this week   Jamie Jenkins  @statsjamie   Crunching the COVID Stats to Expose the Government’s Misinformation  Listen on Spotify  https://t.co/9WQFTRxkwt or the pod app of your choice Hit play for a clip ⏯️  #COVIDstats  https://t.co/uBdz0pOuH2
2022-02-13 00:37:52,submarinojujuy,Hay más de 105 mil vacunas contra el Covid-19 disponibles en Jujuy  https://t.co/vDYObNUu74
2022-02-13 00:37:51,TBoneStyle,"@HelenRaines11 @paulkellyp @BooksysBack My best friend’s husband is unvaccinated and was only last week in ICU fighting for his life with Covid. His natural immune system couldn’t handle it: he needed oxygen, steroids and antibiotics. Shove that statistic where “your own mind” doesn’t shine!!"
2022-02-13 00:37:51,bill_smafia,@emily_llama_ Is it a covid or vaccine thing?
2022-02-13 00:37:50,ATL_Test_Watch,"COVID test available today at CVS (3010 Centerville Highway 124, Snellville, GA 30039) at 12:30PM 02:20PM 02:50PM 03:00PM 03:10PM 03:20PM 03:30PM 03:40PM 03:50PM :  https://t.co/i8jdoR3EYU"
2022-02-13 00:37:49,AnnaStr76,@FlavioVolpe1 @gpvescio Drop the tyrannical mandates and this blockade isn’t necessary!! Does PM Blackface know the “vax” isn’t a vax? That it fails? That people still get covid/flu? That people still spread it? Wake the F up already!! #HonkHonk
2022-02-13 00:37:49,NastyOldWomyn,"Excellent thread. Striking parallels between TV lawyers commenting on AG Garland, and TV medical experts commenting on the handling of COVID-19 mediation."
2022-02-13 00:37:49,cachita2021,@reyn_2021 Y sexo?  Digo según transmite el coba?? Digo Covid
2022-02-13 00:37:49,mattFarris,Car with COVID misinformation stickers is also stopped on the railroad tracks. 🤷‍♂️
2022-02-13 00:37:47,texasT_J,"@moecamerow @AP No one has died from@westing a mask. They have died from taking bs dewormer, drinking bleach and getting covid."
2022-02-13 00:37:47,fachrurrizkyy,Masa Iya covid sih ???
2022-02-13 00:37:47,guru_sc,"""SC tem 17,5% das crianças de 5 a 11 anos vacinadas contra Covid, segundo governo do estado | Santa Catarina | G1""  https://t.co/9S6s4qhaGH"
2022-02-13 00:37:47,Wpgcold,"@jordanfarber @HStefansonMB @roussin_brent @jossreimer @CourtRutherford Children under 5 account for 26.2% of the worlds pop, but only 0.1% of Covid deaths. In Cdn 19 deaths of 4M under age 9. Out of 2k under 9 deaths in Cdn, covid accounts for less than 1%, Stats Can said Covid was ranked third for cause. So kids are not the concern. SCIENCE!!!"
2022-02-13 00:37:46,srhodes36,"@draperdb @MaryOrt55106091 @ABC7 You could describe COVID as 99.8% survivability as you say. Or, you could describe it as nearly 1 million Americans dead in the past two years."
2022-02-13 00:37:46,WayzataMom2,"@APazyryk @AlisaValdesRod1 @tanzinavega If they wouldn’t have died at that time without getting Covid,it’s called dying FROM C"
2022-02-13 00:37:46,Jeffmw,@Nessakins_ Well I just recovered from Covid so don’t need the Antibody test.
2022-02-13 00:37:46,ParoledeVilaine,"J'ai envie de sucre et de gras... Voilà... Tellement que mon menu rêvé du moment ce serait : Entrée : moules frites Plat : raclette et sa fondue moitié moitié Dessert : gaufres liégeoises avec crème d'Isigny  Bon, dessert ✅ Je sais pas si c'est le covid ou l'ennui 😅"
2022-02-13 00:37:46,winendar_bisri,6 Cara Merawat Keluarga yang Terinfeksi Covid-19 di Rumah  https://t.co/TPvuRCdofv
2022-02-13 00:37:45,amazing7773,#TakeIndianStudentsBackToChina  students of Chinese medical universities are stuck  in India due to covid travel resistriction as sir our major is medicine so online classes will not be valid plzz help us to return china it's being 2 years here.
2022-02-13 00:37:45,submarinojujuy,Hay más de 105 mil vacunas contra el Covid-19 disponibles en Jujuy  https://t.co/MWLkwGGGPr Leelo completo en  https://t.co/C9zGctabRp #Destacadas #Salud #TodoSobreElCoronavirus
2022-02-13 00:37:44,today_lincoln,"@karrie_scribner @DavidWCochrane Terrible, have any children perished in automobile accidents in the last 2 years of the Covid flu?"
2022-02-13 00:37:44,the_real_yucob,Trucker protests: French police fire tear gas at those protesting COVID-...  https://t.co/TcyFwtQhXI via @YouTube
2022-02-13 00:37:44,Willy33565753,"@ellinowilliam @AfamDeluxo For sure,covid 19 help the country to invest in agriculture,as long no bombing in Nigeria,more improvement."
2022-02-13 00:37:44,Jenna15700674,Uhhhh the pharmacies are so over stocked on Covid tests rn they’re trying to give them away 8 at a time
2022-02-13 00:37:44,jeffcalcagno,‘I Had Never Felt Worse’: Long Covid Sufferers Are Struggling With Exercise  https://t.co/ieSpsmjfUQ
2022-02-13 00:37:44,batalysta,And pretty much right on schedule:  Four new COVID-19 related deaths in Ottawa Saturday  https://t.co/59RBEtecjo via @ctvottawa
2022-02-13 00:37:43,cmtjbc,"@fordnation It was a lie from the beginning, the risk is fractionally low, vaccinated people still get COVID because it doesn't work.  These are facts, I suggest you get on the side of truth quickly facist.  #FreedomConvoy2022"
2022-02-13 00:37:43,_doglizard,literally the worst thing about covid nineteen is theres nowhere i can go to get my tongue pierced
2022-02-13 00:37:42,DunandVictor,@talie_nathalie @RVOLI @fee_lyne1 @FCOUILBAULT1 Et pour info en 2020 j´ai des tas de gens qui le porte conscieusement et l´on chopé au taf...même avec un masque passer 8h par jour près de covid + ça contamine
2022-02-13 00:37:42,enfermero_cesar,@carolinapinoc Acá 4 vacunas y cero covid
2022-02-13 00:37:42,ldtestino,"MSCS gets a shout out from Sec. Cardona as part of the department's ARP Stars social media campaign, ""where we will highlight schools, in their own words, doing everything they can to fight COVID-19 and give students, teachers, and families the tools they need to succeed."""
2022-02-13 00:37:41,Straigh54166476,"Freedom Convoy: Police move in on truckers protesting COVID rules at US-Canada border after injunction issued  https://t.co/SG8lCYYXuK via @Yahoo The protestors may be breaking the law but so is the govt , look up the charter of rights section 6 subsection 2 clause b,about working"
